date,continuing_claims,total_employed
01/04/2020,1759000,145230691
01/11/2020,1735000,145230691
01/18/2020,1704000,145230691
01/25/2020,1753000,145230691
02/01/2020,1678000,145230691
02/08/2020,1729000,145230691
02/15/2020,1693000,145230691
02/22/2020,1720000,145230691
02/29/2020,1699000,145230691
03/07/2020,1702000,145230691
03/14/2020,1784000,145230691
03/21/2020,3059000,145230691
03/28/2020,7446000,145230691
04/04/2020,11914000,145671710
04/11/2020,15819000,145671710
04/18/2020,18011000,145671710
04/25/2020,22377000,145671710
05/02/2020,22548000,145671710
05/09/2020,24912000,145671710
05/16/2020,20841000,145671710
05/23/2020,21268000,145671710
05/30/2020,20606000,145671710
06/06/2020,20289000,145671710
06/13/2020,19231000,145671710
06/20/2020,18760000,145671710
06/27/2020,17760000,145671710
07/04/2020,17304000,146125989
07/11/2020,16151000,146125989
07/18/2020,16951000,146125989
07/25/2020,16090000,146125989
08/01/2020,15480000,146125989
08/08/2020,14759000,146125989
08/15/2020,14492000,146125989
08/22/2020,13292000,146125989
08/29/2020,13544000,146125989
09/05/2020,12747000,146125989
09/12/2020,12747000,146125989